ticker,fiscal_quarter_end,earnings_date_actual,decision_date_T,source,provenance_caveat
CRGY,2022-03-31,2022-05-10,2022-04-26,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2022-06-30,2022-08-09,2022-07-26,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2022-09-30,2022-11-09,2022-10-26,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2022-12-31,2023-03-07,2023-02-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2023-03-31,2023-05-10,2023-04-26,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2023-06-30,2023-08-09,2023-07-26,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2023-09-30,2023-11-06,2023-10-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2023-12-31,2024-03-04,2024-02-19,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2024-03-31,2024-05-06,2024-04-22,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2024-06-30,2024-08-05,2024-07-22,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2024-09-30,2024-11-04,2024-10-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2024-12-31,2025-02-26,2025-02-12,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2025-03-31,2025-05-05,2025-04-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2025-06-30,2025-08-04,2025-07-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CRGY,2025-09-30,2025-11-03,2025-10-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2021-09-30,2021-11-03,2021-10-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2021-12-31,2022-02-23,2022-02-09,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2022-03-31,2022-05-02,2022-04-18,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2022-06-30,2022-08-02,2022-07-19,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2022-09-30,2022-11-03,2022-10-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2022-12-31,2023-02-22,2023-02-08,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2023-03-31,2023-05-04,2023-04-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2023-06-30,2023-08-07,2023-07-24,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2023-09-30,2023-11-06,2023-10-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2023-12-31,2024-02-22,2024-02-08,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2024-03-31,2024-05-02,2024-04-18,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2024-06-30,2024-08-01,2024-07-18,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2024-09-30,2024-10-31,2024-10-17,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2024-12-31,2025-02-24,2025-02-10,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2025-03-31,2025-05-05,2025-04-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2025-06-30,2025-08-04,2025-07-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
CTRA,2025-09-30,2025-11-03,2025-10-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2018-12-31,2019-02-19,2019-02-05,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2019-03-31,2019-04-30,2019-04-16,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2019-06-30,2019-08-06,2019-07-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2019-09-30,2019-11-05,2019-10-22,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2019-12-31,2020-02-18,2020-02-04,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2020-03-31,2020-05-05,2020-04-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2020-06-30,2020-08-04,2020-07-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2020-09-30,2020-10-29,2020-10-15,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2020-12-31,2021-02-16,2021-02-02,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2021-03-31,2021-05-04,2021-04-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2021-06-30,2021-08-03,2021-07-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2021-09-30,2021-11-02,2021-10-19,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2021-12-31,2022-02-15,2022-02-01,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2022-03-31,2022-05-02,2022-04-18,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2022-06-30,2022-08-01,2022-07-18,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2022-09-30,2022-11-01,2022-10-18,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2022-12-31,2023-02-14,2023-01-31,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2023-03-31,2023-05-08,2023-04-24,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2023-06-30,2023-08-01,2023-07-18,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2023-09-30,2023-11-07,2023-10-24,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2023-12-31,2024-02-27,2024-02-13,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2024-03-31,2024-05-01,2024-04-17,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2024-06-30,2024-08-06,2024-07-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2024-09-30,2024-11-05,2024-10-22,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2024-12-31,2025-02-18,2025-02-04,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2025-03-31,2025-05-06,2025-04-22,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2025-06-30,2025-08-05,2025-07-22,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2025-09-30,2025-11-05,2025-10-22,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
DVN,2025-12-31,2026-02-17,2026-02-03,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2018-12-31,2019-02-26,2019-02-12,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2019-03-31,2019-05-02,2019-04-18,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2019-06-30,2019-08-01,2019-07-18,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2019-09-30,2019-11-06,2019-10-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2019-12-31,2020-02-27,2020-02-13,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2020-03-31,2020-05-07,2020-04-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2020-06-30,2020-08-06,2020-07-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2020-09-30,2020-11-05,2020-10-22,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2020-12-31,2021-02-25,2021-02-11,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2021-03-31,2021-05-06,2021-04-22,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2021-06-30,2021-08-04,2021-07-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2021-09-30,2021-11-04,2021-10-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2021-12-31,2022-02-24,2022-02-10,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2022-03-31,2022-05-05,2022-04-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2022-06-30,2022-08-04,2022-07-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2022-09-30,2022-11-03,2022-10-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2022-12-31,2023-02-23,2023-02-09,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2023-03-31,2023-05-04,2023-04-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2023-06-30,2023-08-03,2023-07-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2023-09-30,2023-11-02,2023-10-19,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2023-12-31,2024-02-22,2024-02-08,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2024-03-31,2024-05-02,2024-04-18,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2024-06-30,2024-08-01,2024-07-18,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2024-09-30,2024-11-07,2024-10-24,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2024-12-31,2025-02-27,2025-02-13,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2025-03-31,2025-05-01,2025-04-17,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2025-06-30,2025-08-07,2025-07-24,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
EOG,2025-09-30,2025-11-06,2025-10-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2018-12-31,2019-02-19,2019-02-05,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2019-03-31,2019-05-07,2019-04-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2019-06-30,2019-08-06,2019-07-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2019-09-30,2019-11-05,2019-10-22,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2019-12-31,2020-02-18,2020-02-04,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2020-03-31,2020-05-04,2020-04-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2020-06-30,2020-08-03,2020-07-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2020-09-30,2020-11-02,2020-10-19,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2020-12-31,2021-02-22,2021-02-08,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2021-03-31,2021-05-03,2021-04-19,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2021-06-30,2021-08-02,2021-07-19,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2021-09-30,2021-11-01,2021-10-18,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2021-12-31,2022-02-22,2022-02-08,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2022-03-31,2022-05-02,2022-04-18,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2022-06-30,2022-08-01,2022-07-18,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2022-09-30,2022-11-07,2022-10-24,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2022-12-31,2023-02-21,2023-02-07,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2023-03-31,2023-05-01,2023-04-17,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2023-06-30,2023-07-31,2023-07-17,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2023-09-30,2023-11-06,2023-10-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2023-12-31,2024-02-20,2024-02-06,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2024-03-31,2024-04-30,2024-04-16,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2024-06-30,2024-08-05,2024-07-22,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2024-09-30,2024-11-04,2024-10-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2024-12-31,2025-02-24,2025-02-10,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2025-03-31,2025-05-05,2025-04-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2025-06-30,2025-08-04,2025-07-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
FANG,2025-09-30,2025-11-03,2025-10-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2018-12-31,2019-02-26,2019-02-12,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
