ticker,fiscal_quarter_end,earnings_date_actual,decision_date_T,source,provenance_caveat
MTDR,2019-03-31,2019-05-01,2019-04-17,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2019-06-30,2019-07-31,2019-07-17,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2019-09-30,2019-10-29,2019-10-15,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2019-12-31,2020-02-25,2020-02-11,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2020-03-31,2020-04-29,2020-04-15,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2020-06-30,2020-07-28,2020-07-14,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2020-09-30,2020-10-27,2020-10-13,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2020-12-31,2021-02-23,2021-02-09,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2021-03-31,2021-04-28,2021-04-14,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2021-06-30,2021-07-27,2021-07-13,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2021-09-30,2021-10-26,2021-10-12,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2021-12-31,2022-02-22,2022-02-08,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2022-03-31,2022-04-26,2022-04-12,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2022-06-30,2022-07-26,2022-07-12,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2022-09-30,2022-10-25,2022-10-11,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2022-12-31,2023-02-21,2023-02-07,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2023-03-31,2023-04-25,2023-04-11,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2023-06-30,2023-07-25,2023-07-11,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2023-09-30,2023-10-24,2023-10-10,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2023-12-31,2024-02-20,2024-02-06,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2024-03-31,2024-04-23,2024-04-09,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2024-06-30,2024-07-23,2024-07-09,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2024-09-30,2024-10-22,2024-10-08,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2024-12-31,2025-02-18,2025-02-04,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2025-03-31,2025-04-23,2025-04-09,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2025-06-30,2025-07-22,2025-07-08,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
MTDR,2025-09-30,2025-10-21,2025-10-07,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OVV,2020-03-31,2020-05-07,2020-04-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OVV,2020-06-30,2020-07-28,2020-07-14,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OVV,2020-09-30,2020-10-28,2020-10-14,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OVV,2020-12-31,2021-02-17,2021-02-03,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OVV,2021-03-31,2021-04-29,2021-04-15,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OVV,2021-06-30,2021-07-27,2021-07-13,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OVV,2021-09-30,2021-11-02,2021-10-19,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OVV,2021-12-31,2022-02-24,2022-02-10,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OVV,2022-03-31,2022-05-10,2022-04-26,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OVV,2022-06-30,2022-08-03,2022-07-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OVV,2022-09-30,2022-11-08,2022-10-25,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OVV,2022-12-31,2023-02-27,2023-02-13,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OVV,2023-03-31,2023-05-15,2023-05-01,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OVV,2023-06-30,2023-07-27,2023-07-13,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OVV,2023-09-30,2023-11-07,2023-10-24,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OVV,2023-12-31,2024-02-27,2024-02-13,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OVV,2024-03-31,2024-05-07,2024-04-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OVV,2024-06-30,2024-07-30,2024-07-16,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OVV,2024-09-30,2024-11-07,2024-10-24,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OVV,2024-12-31,2025-02-26,2025-02-12,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OVV,2025-03-31,2025-05-06,2025-04-22,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OVV,2025-06-30,2025-07-24,2025-07-10,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OVV,2025-09-30,2025-11-04,2025-10-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2018-12-31,2019-02-12,2019-01-29,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2019-03-31,2019-05-06,2019-04-22,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2019-06-30,2019-07-31,2019-07-17,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2019-09-30,2019-11-04,2019-10-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2019-12-31,2020-02-27,2020-02-13,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2020-03-31,2020-05-05,2020-04-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2020-06-30,2020-08-10,2020-07-27,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2020-09-30,2020-11-09,2020-10-26,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2020-12-31,2021-02-22,2021-02-08,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2021-03-31,2021-05-10,2021-04-26,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2021-06-30,2021-08-03,2021-07-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2021-09-30,2021-11-04,2021-10-21,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2021-12-31,2022-02-23,2022-02-09,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2022-03-31,2022-05-10,2022-04-26,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2022-06-30,2022-08-02,2022-07-19,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2022-09-30,2022-11-08,2022-10-25,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2022-12-31,2023-02-27,2023-02-13,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2023-03-31,2023-05-09,2023-04-25,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2023-06-30,2023-08-02,2023-07-19,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2023-09-30,2023-11-07,2023-10-24,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2023-12-31,2024-02-14,2024-01-31,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2024-03-31,2024-05-07,2024-04-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2024-06-30,2024-08-07,2024-07-24,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2024-09-30,2024-11-12,2024-10-29,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2024-12-31,2025-02-18,2025-02-04,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2025-03-31,2025-05-07,2025-04-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2025-06-30,2025-08-06,2025-07-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2025-09-30,2025-11-10,2025-10-27,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
OXY,2025-12-31,2026-02-18,2026-02-04,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
PR,2022-09-30,2022-11-08,2022-10-25,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
PR,2022-12-31,2023-02-22,2023-02-08,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
PR,2023-03-31,2023-05-08,2023-04-24,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
PR,2023-06-30,2023-08-02,2023-07-19,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
PR,2023-09-30,2023-11-07,2023-10-24,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
PR,2023-12-31,2024-02-27,2024-02-13,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
PR,2024-03-31,2024-05-07,2024-04-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
PR,2024-06-30,2024-08-06,2024-07-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
PR,2024-09-30,2024-11-06,2024-10-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
PR,2024-12-31,2025-02-25,2025-02-11,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
PR,2025-03-31,2025-05-07,2025-04-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
PR,2025-06-30,2025-08-06,2025-07-23,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
PR,2025-09-30,2025-11-05,2025-10-22,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2018-12-31,2019-02-20,2019-02-06,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2019-03-31,2019-05-01,2019-04-17,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2019-06-30,2019-08-01,2019-07-18,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2019-09-30,2019-10-31,2019-10-17,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2019-12-31,2020-02-19,2020-02-05,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2020-03-31,2020-04-29,2020-04-15,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2020-06-30,2020-07-30,2020-07-16,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2020-09-30,2020-10-29,2020-10-15,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2020-12-31,2021-02-17,2021-02-03,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2021-03-31,2021-04-29,2021-04-15,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2021-06-30,2021-07-29,2021-07-15,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2021-09-30,2021-10-28,2021-10-14,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2021-12-31,2022-02-24,2022-02-10,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2022-03-31,2022-04-28,2022-04-14,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2022-06-30,2022-08-03,2022-07-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2022-09-30,2022-11-03,2022-10-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2022-12-31,2023-02-22,2023-02-08,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2023-03-31,2023-04-27,2023-04-13,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2023-06-30,2023-08-02,2023-07-19,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2023-09-30,2023-11-02,2023-10-19,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2023-12-31,2024-02-21,2024-02-07,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2024-03-31,2024-05-02,2024-04-18,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2024-06-30,2024-08-07,2024-07-24,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2024-09-30,2024-10-31,2024-10-17,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2024-12-31,2025-02-19,2025-02-05,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2025-03-31,2025-05-01,2025-04-17,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2025-06-30,2025-07-31,2025-07-17,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
SM,2025-09-30,2025-11-03,2025-10-20,IBES ANNDATS_ACT,Date is ex-post-finalized announcement timestamp from IBES; used identically for 2019-2025 cells
